2020-01-28 17:41:38 INFO  DriverFactory:71 - The driver executable does not exist: C:\Users\test\eclipse-workspace\emporio\src\main\java\com\test\emporio\Drivers\Windows\chromedriver.exe
2020-01-28 17:42:59 INFO  TestBase:29 - Initialize Web driver: 1741786839
2020-01-28 17:42:59 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-28 17:42:59 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-28 17:42:59 INFO  Homepage:50 - log in to the app
2020-01-28 17:43:03 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_28_01_2020_05_43_03.png
2020-01-28 17:43:03 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (dfa68c1bcec8ed16d8844dab12698910)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-28 17:43:16 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (dfa68c1bcec8ed16d8844dab12698910)] -> css selector: input[title='Sign Up']]for time : 4
2020-01-28 17:45:03 INFO  TestBase:29 - Initialize Web driver: 1741786839
2020-01-28 17:45:03 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-28 17:45:03 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-28 17:45:03 INFO  Homepage:50 - log in to the app
2020-01-28 17:45:07 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_28_01_2020_05_45_07.png
2020-01-28 17:45:07 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7fb330d9ebba1bd765480ade80c2e839)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-28 17:45:24 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7fb330d9ebba1bd765480ade80c2e839)] -> css selector: input[title='Sign Up']]for time : 4
2020-01-28 17:45:24 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7fb330d9ebba1bd765480ade80c2e839)] -> css selector: #gh-search-input]for time : 10
2020-01-28 17:45:24 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (7fb330d9ebba1bd765480ade80c2e839)] -> css selector: .header-search-button]for time : 10
2020-01-28 17:46:52 INFO  TestBase:29 - Initialize Web driver: 1548010882
2020-01-28 17:46:52 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-28 17:46:52 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-28 17:46:52 INFO  Homepage:50 - log in to the app
2020-01-28 17:46:56 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_28_01_2020_05_46_56.png
2020-01-28 17:46:56 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (e535cae1d55c1bec6b4b52f3b913c331)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
2020-01-28 17:47:08 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (e535cae1d55c1bec6b4b52f3b913c331)] -> css selector: input[title='Sign Up']]for time : 10
2020-01-28 17:47:10 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (e535cae1d55c1bec6b4b52f3b913c331)] -> css selector: #gh-search-input]for time : 10
2020-01-28 17:47:10 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (e535cae1d55c1bec6b4b52f3b913c331)] -> css selector: .header-search-button]for time : 10
2020-01-28 17:47:48 INFO  TestBase:29 - Initialize Web driver: 1741786839
2020-01-28 17:47:48 INFO  WaitHelper:28 - the implicit time has been changed to 10 SECONDS
2020-01-28 17:47:48 INFO  WaitHelper:33 - the page load time has been changed to 20 SECONDS
2020-01-28 17:47:48 INFO  Homepage:50 - log in to the app
2020-01-28 17:47:53 INFO  TestBase:53 - snapshot taken at C:\Users\test\eclipse-workspace\emporio\src\main\resources\Screenshots\bestbuy homepage_28_01_2020_05_47_52.png
2020-01-28 17:47:53 INFO  WaitHelper:87 - waiting for the element [[ChromeDriver: chrome on WINDOWS (bf6640dfe809a6696c60f8752d37b94c)] -> css selector: .language-menu>ul>li>button[lang='en']]for time : 4
